"","OBJECTID","Status","BaumGattun","xtf_id","BaumArtLat","Kategorie","Pflanzjahr","Baumtyp","Quartier","Strasse","BaumNameLa","Baumnummer","POI_ID","BaumNameDe","Baumtyptex","Genauigkei","geometry"
"30736",30736,"Grünanlage","Betula","30735","nigra","Parkbaum","1900","0","Sihlfeld","Aemtlerstrasse","Betula nigra","WD-5399","bm_30735","Schwarz-Birke, Fluss-Birke","nicht zugeordnet","Bildschirmeingabe",c(2680811.03009033, 1247918.02008057)
"30737",30737,"Grünanlage","Betula","30736","nigra","Parkbaum","1900","0","Sihlfeld","Aemtlerstrasse","Betula nigra","WD-5400","bm_30736","Schwarz-Birke, Fluss-Birke","nicht zugeordnet","Bildschirmeingabe",c(2680797.43011475, 1247901.2901001)
"30738",30738,"Grünanlage","Betula","30737","nigra","Parkbaum","1900","0","Sihlfeld","Aemtlerstrasse","Betula nigra","WD-5401","bm_30737","Schwarz-Birke, Fluss-Birke","nicht zugeordnet","Bildschirmeingabe",c(2680792.94012451, 1247912.72009277)
"30739",30739,"Grünanlage","Betula","30738","nigra","Parkbaum","1900","0","Sihlfeld","Aemtlerstrasse","Betula nigra","WD-5402","bm_30738","Schwarz-Birke, Fluss-Birke","nicht zugeordnet","Bildschirmeingabe",c(2680788.73010254, 1247911.36010742)
"30740",30740,"Grünanlage","Platanus","30739","spec.","Parkbaum","1875","0","Sihlfeld","Aemtlerstrasse","Platanus spec.","WD-5403","bm_30739","Platane, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680780.84008789, 1247903.06011963)
"30741",30741,"Grünanlage","Platanus","30740","spec.","Parkbaum","1875","0","Sihlfeld","Aemtlerstrasse","Platanus spec.","WD-5404","bm_30740","Platane, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680789.82012939, 1247894.90008545)
"30742",30742,"Grünanlage","Platanus","30741","spec.","Parkbaum","1875","0","Sihlfeld","Aemtlerstrasse","Platanus spec.","WD-5405","bm_30741","Platane, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680793.35009766, 1247889.60009765)
"30743",30743,"Grünanlage","Platanus","30742","spec.","Parkbaum","1875","0","Sihlfeld","Aemtlerstrasse","Platanus spec.","WD-5406","bm_30742","Platane, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680781.93011475, 1247919.65008545)
"30744",30744,"Grünanlage","Platanus","30743","spec.","Parkbaum","1875","0","Sihlfeld","Aemtlerstrasse","Platanus spec.","WD-5407","bm_30743","Platane, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680783.70007324, 1247941.68011475)
"30745",30745,"Grünanlage","Platanus","30744","spec.","Parkbaum","1875","0","Sihlfeld","Aemtlerstrasse","Platanus spec.","WD-5408","bm_30744","Platane, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680786.28009033, 1247938.15008545)
"30746",30746,"Grünanlage","Platanus","30745","spec.","Parkbaum","1875","0","Sihlfeld","Aemtlerstrasse","Platanus spec.","WD-5409","bm_30745","Platane, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680791.9901123, 1247932.84008789)
"30747",30747,"Grünanlage","Picea","30746","omorika","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Picea omorika 'Pendula'","WD-5410","bm_30746","Serbische Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680808.45007324, 1247914.35009766)
"30748",30748,"Grünanlage","Picea","30747","omorika","Parkbaum","1970","0","Sihlfeld","Aemtlerstrasse","Picea omorika 'Pendula'","WD-5411","bm_30747","Serbische Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680816.7401123, 1247907.14007568)
"30749",30749,"Grünanlage","Picea","30748","omorika","Parkbaum","1980","0","Sihlfeld","Aemtlerstrasse","Picea omorika 'Pendula'","WD-5412","bm_30748","Serbische Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680818.10009766, 1247911.08007813)
"30750",30750,"Grünanlage","Taxus","30749","baccata","Parkbaum","1930","0","Sihlfeld","Aemtlerstrasse","Taxus baccata","WD-5413","bm_30749","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680802.82012939, 1247924.16009522)
"30751",30751,"Grünanlage","Taxus","30750","baccata","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Taxus baccata","WD-5414","bm_30750","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680805.32012939, 1247922.64007568)
"30752",30752,"Grünanlage","Taxus","30751","baccata","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Taxus baccata","WD-5415","bm_30751","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680799.20007324, 1247917.61010742)
"30753",30753,"Grünanlage","Taxus","30752","baccata","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Taxus baccata","WD-5416","bm_30752","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680809.67010498, 1247916.93011475)
"30754",30754,"Grünanlage","Carpinus","30753","viminea","Parkbaum","1900","0","Sihlfeld","Aemtlerstrasse","Carpinus viminea","WD-5417","bm_30753","Hainbuche","nicht zugeordnet","Bildschirmeingabe",c(2680764.39007568, 1247917.48010254)
"30755",30755,"Grünanlage","Carpinus","30754","viminea","Parkbaum","1900","0","Sihlfeld","Aemtlerstrasse","Carpinus viminea","WD-5418","bm_30754","Hainbuche","nicht zugeordnet","Bildschirmeingabe",c(2680765.20007324, 1247916.80010986)
"30756",30756,"Grünanlage","Carpinus","30755","viminea","Parkbaum","1900","0","Sihlfeld","Aemtlerstrasse","Carpinus viminea","WD-5419","bm_30755","Hainbuche","nicht zugeordnet","Bildschirmeingabe",c(2680769.42010498, 1247910.95007324)
"30757",30757,"Grünanlage","Carpinus","30756","viminea","Parkbaum","1900","0","Sihlfeld","Aemtlerstrasse","Carpinus viminea","WD-5420","bm_30756","Hainbuche","nicht zugeordnet","Bildschirmeingabe",c(2680758.81011963, 1247910.40008545)
"30758",30758,"Grünanlage","Carpinus","30757","viminea","Parkbaum","1900","0","Sihlfeld","Aemtlerstrasse","Carpinus viminea","WD-5421","bm_30757","Hainbuche","nicht zugeordnet","Bildschirmeingabe",c(2680754.05010986, 1247906.3201294)
"30759",30759,"Grünanlage","Carpinus","30758","viminea","Parkbaum","1900","0","Sihlfeld","Aemtlerstrasse","Carpinus viminea","WD-5422","bm_30758","Hainbuche","nicht zugeordnet","Bildschirmeingabe",c(2680749.97009277, 1247898.44012451)
"30760",30760,"Grünanlage","Ilex","30759","aquifolium","Parkbaum","1960","0","Sihlfeld","Aemtlerstrasse","Ilex aquifolium","WD-5423","bm_30759","Stechpalme","nicht zugeordnet","Bildschirmeingabe",c(2680761.94012451, 1247899.52008057)
"30761",30761,"Grünanlage","Picea","30760","abies","Parkbaum","1900","0","Sihlfeld","Aemtlerstrasse","Picea abies","WD-5424","bm_30760","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680750.65008545, 1247882.80010986)
"30762",30762,"Grünanlage","Pinus","30761","strobus","Parkbaum","1900","0","Sihlfeld","Aemtlerstrasse","Pinus strobus","WD-5425","bm_30761","Weymouths-Kiefer, Strobe","nicht zugeordnet","Bildschirmeingabe",c(2680734.33007812, 1247875.86010742)
"30763",30763,"Grünanlage","Picea","30762","abies","Parkbaum","1900","0","Sihlfeld","Aemtlerstrasse","Picea abies","WD-5426","bm_30762","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680746.30010986, 1247894.49011231)
"30764",30764,"Grünanlage","Carpinus","30763","viminea","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Carpinus viminea","WD-5427","bm_30763","Hainbuche","nicht zugeordnet","Bildschirmeingabe",c(2680738.96008301, 1247889.46008301)
"30765",30765,"Grünanlage","Carpinus","30764","viminea","Parkbaum","1910","0","Sihlfeld","Aemtlerstrasse","Carpinus viminea","WD-5428","bm_30764","Hainbuche","nicht zugeordnet","Bildschirmeingabe",c(2680728.89007568, 1247899.12011718)
"30766",30766,"Grünanlage","Carpinus","30765","viminea","Parkbaum","1910","0","Sihlfeld","Aemtlerstrasse","Carpinus viminea","WD-5429","bm_30765","Hainbuche","nicht zugeordnet","Bildschirmeingabe",c(2680724.27008057, 1247904.15008545)
"30767",30767,"Grünanlage","Carpinus","30766","viminea","Parkbaum","1910","0","Sihlfeld","Aemtlerstrasse","Carpinus viminea","WD-5430","bm_30766","Hainbuche","nicht zugeordnet","Bildschirmeingabe",c(2680722.50012207, 1247907.68011475)
"30768",30768,"Grünanlage","Carpinus","30767","viminea","Parkbaum","1910","0","Sihlfeld","Aemtlerstrasse","Carpinus viminea","WD-5431","bm_30767","Hainbuche","nicht zugeordnet","Bildschirmeingabe",c(2680720.19012451, 1247909.0401001)
"30769",30769,"Grünanlage","Carpinus","30768","viminea","Parkbaum","1970","0","Sihlfeld","Aemtlerstrasse","Carpinus viminea","WD-5432","bm_30768","Hainbuche","nicht zugeordnet","Bildschirmeingabe",c(2680716.7901001, 1247911.63012696)
"30770",30770,"Grünanlage","Carpinus","30769","viminea","Parkbaum","1950","0","Sihlfeld","Aemtlerstrasse","Carpinus viminea","WD-5433","bm_30769","Hainbuche","nicht zugeordnet","Bildschirmeingabe",c(2680708.77008057, 1247897.62011719)
"30771",30771,"Grünanlage","Taxus","30770","baccata","Parkbaum","1950","0","Sihlfeld","Aemtlerstrasse","Taxus baccata","WD-5434","bm_30770","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680730.53009033, 1247888.65008545)
"30772",30772,"Grünanlage","Picea","30771","abies","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Picea abies","WD-5437","bm_30771","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680698.84008789, 1247883.21008301)
"30773",30773,"Grünanlage","Picea","30772","abies","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Picea abies","WD-5438","bm_30772","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680700.88012695, 1247891.50012207)
"30774",30774,"Grünanlage","Picea","30773","abies","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Picea abies","WD-5439","bm_30773","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680705.23010254, 1247889.33007813)
"30775",30775,"Grünanlage","Picea","30774","abies","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Picea abies","WD-5440","bm_30774","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680705.64007568, 1247894.63012696)
"30776",30776,"Grünanlage","Picea","30775","abies","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Picea abies","WD-5441","bm_30775","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680714.75012207, 1247898.17010498)
"30777",30777,"Grünanlage","Picea","30776","abies","Parkbaum","1950","0","Sihlfeld","Aemtlerstrasse","Picea abies","WD-5442","bm_30776","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680700.20007324, 1247887.97009277)
"30778",30778,"Grünanlage","Picea","30777","abies","Parkbaum","1960","0","Sihlfeld","Aemtlerstrasse","Picea abies","WD-5443","bm_30777","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680704.14007568, 1247887.0100708)
"30779",30779,"Grünanlage","Picea","30778","abies","Parkbaum","1950","0","Sihlfeld","Aemtlerstrasse","Picea abies","WD-5444","bm_30778","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680711.21008301, 1247895.17010498)
"30780",30780,"Grünanlage","Picea","30779","abies","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Picea abies","WD-5445","bm_30779","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680707.00012207, 1247904.15008545)
"30781",30781,"Grünanlage","Picea","30780","abies","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Picea abies","WD-5446","bm_30780","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680714.61010742, 1247907.14007568)
"30782",30782,"Grünanlage","Picea","30781","abies","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Picea abies","WD-5447","bm_30781","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680717.20007324, 1247904.28009033)
"30783",30783,"Grünanlage","Picea","30782","abies","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Picea abies","WD-5448","bm_30782","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680720.60009766, 1247903.20007324)
"30784",30784,"Grünanlage","Cercis","30783","spec.","Parkbaum","1940","0","Sihlfeld","Aemtlerstrasse","Cercis spec.","WD-5449","bm_30783","Judasbaum, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680749.30010986, 1247852.92010498)
"30785",30785,"Grünanlage","Cercis","30784","spec.","Parkbaum","1940","0","Sihlfeld","Aemtlerstrasse","Cercis spec.","WD-5450","bm_30784","Judasbaum, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680742.45007324, 1247859.92010498)
"30786",30786,"Grünanlage","Cercis","30785","spec.","Parkbaum","1940","0","Sihlfeld","Aemtlerstrasse","Cercis spec.","WD-5451","bm_30785","Judasbaum, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680740.16009521, 1247853.0701294)
"30787",30787,"Grünanlage","Prunus","30786","spec.","Parkbaum","1960","0","Sihlfeld","Aemtlerstrasse","Prunus spec.","WD-5452","bm_30786","Kirsche, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680727.73010254, 1247873.4901123)
"30788",30788,"Grünanlage","Acer","30787","japonicum","Parkbaum","1940","0","Sihlfeld","Aemtlerstrasse","Acer japonicum","WD-5453","bm_30787","Eisenhutblättriger Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680767.0100708, 1247860.50012207)
"30789",30789,"Grünanlage","Acer","30788","japonicum","Parkbaum","1940","0","Sihlfeld","Aemtlerstrasse","Acer japonicum","WD-5454","bm_30788","Eisenhutblättriger Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680772.30010986, 1247865.21008301)
"30790",30790,"Grünanlage","Acer","30789","japonicum","Parkbaum","1940","0","Sihlfeld","Aemtlerstrasse","Acer japonicum","WD-5455","bm_30789","Eisenhutblättriger Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680778.16009521, 1247868.92010498)
"30791",30791,"Grünanlage","Acer","30790","japonicum","Parkbaum","1940","0","Sihlfeld","Aemtlerstrasse","Acer japonicum","WD-5456","bm_30790","Eisenhutblättriger Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680792.87011719, 1247871.78009033)
"30792",30792,"Grünanlage","Acer","30791","japonicum","Parkbaum","1940","0","Sihlfeld","Aemtlerstrasse","Acer japonicum","WD-5457","bm_30791","Eisenhutblättriger Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680788.0100708, 1247867.92010498)
"30793",30793,"Grünanlage","Juglans","30792","regia","Parkbaum","1940","6","Sihlfeld","Aemtlerstrasse","Juglans regia","WD-5458","bm_30792","Walnuss-Obstgehölz, Sorte unbekannt","Obstbäume","Bildschirmeingabe",c(2680768.16009521, 1247839.50012207)
"30794",30794,"Grünanlage","Juglans","30793","regia","Parkbaum","1940","6","Sihlfeld","Aemtlerstrasse","Juglans regia","WD-5459","bm_30793","Walnuss-Obstgehölz, Sorte unbekannt","Obstbäume","Bildschirmeingabe",c(2680749.30010986, 1247820.50012207)
"30795",30795,"Grünanlage","Liquidambar","30794","spec.","Parkbaum","1940","0","Sihlfeld","Aemtlerstrasse","Liquidambar spec.","WD-5460","bm_30794","Amberbaum, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680746.59008789, 1247808.36010742)
"30796",30796,"Grünanlage","Crataegus","30795","spec.","Parkbaum","1940","0","Sihlfeld","Aemtlerstrasse","Crataegus spec.","WD-5461","bm_30795","Weissdorn, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680770.87011719, 1247827.93011475)
"30797",30797,"Grünanlage","Crataegus","30796","spec.","Parkbaum","1940","0","Sihlfeld","Aemtlerstrasse","Crataegus spec.","WD-5462","bm_30796","Weissdorn, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680771.73010254, 1247824.36010742)
"30798",30798,"Grünanlage","Malus","30797","spec.","Parkbaum","1999","0","Sihlfeld","Aemtlerstrasse","Malus spec.","WD-5463","bm_30797","Zier-Apfel, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680733.09008789, 1247822.7600708)
"30799",30799,"Grünanlage","Liquidambar","30798","spec.","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Liquidambar spec.","WD-5464","bm_30798","Amberbaum, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680708.47009277, 1247841.69012451)
"30800",30800,"Grünanlage","Liquidambar","30799","spec.","Parkbaum","1870","0","Sihlfeld","Aemtlerstrasse","Liquidambar spec.","WD-5465","bm_30799","Amberbaum, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680711.43011475, 1247843.7401123)
"30801",30801,"Grünanlage","Catalpa","30800","bignonioides","Parkbaum","1995","4","Sihlfeld","Aemtlerstrasse","Catalpa bignonioides","WD-5466","bm_30800","Trompetenbaum","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680708.47009277, 1247858.33007813)
"30802",30802,"Grünanlage","Catalpa","30801","bignonioides","Parkbaum","1995","4","Sihlfeld","Aemtlerstrasse","Catalpa bignonioides","WD-5467","bm_30801","Trompetenbaum","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680714.62011719, 1247866.5401001)
"30803",30803,"Grünanlage","Catalpa","30802","bignonioides","Parkbaum","1995","4","Sihlfeld","Aemtlerstrasse","Catalpa bignonioides","WD-5468","bm_30802","Trompetenbaum","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680708.2401123, 1247864.94012451)
"30804",30804,"Grünanlage","Robinia","30803","pseudoacacia","Parkbaum","1900","1","Sihlfeld","Aemtlerstrasse","Robinia pseudoacacia","WD-5469","bm_30803","Robinie, Schein-Akazie","Höhe:>20m, Breite:>10m","Bildschirmeingabe",c(2680677.73010254, 1247862.2401123)
"30805",30805,"Grünanlage","Malus","30804","spec.","Parkbaum","1900","0","Sihlfeld","Aemtlerstrasse","Malus spec.","WD-5470","bm_30804","Zier-Apfel, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680684.45007324, 1247870.19012451)
"30806",30806,"Grünanlage","Carpinus","30805","betulus","Parkbaum","1995","4","Sihlfeld","Aemtlerstrasse","Carpinus betulus","WD-5471","bm_30805","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680669.30010986, 1247848.67010498)
"30807",30807,"Grünanlage","Ginkgo","30806","biloba","Parkbaum","1930","2","Sihlfeld","Aemtlerstrasse","Ginkgo biloba","WD-5472","bm_30806","Ginkgo, Mädchenhaarbaum, Fächerblattbaum","Höhe:>20m, Breite:<10m","Bildschirmeingabe",c(2680683.48010254, 1247843.66009522)
"30808",30808,"Grünanlage","Ginkgo","30807","biloba","Parkbaum","1930","2","Sihlfeld","Aemtlerstrasse","Ginkgo biloba","WD-5473","bm_30807","Ginkgo, Mädchenhaarbaum, Fächerblattbaum","Höhe:>20m, Breite:<10m","Bildschirmeingabe",c(2680683.23010254, 1247842.07012939)
"30809",30809,"Grünanlage","Ginkgo","30808","biloba","Parkbaum","1930","2","Sihlfeld","Aemtlerstrasse","Ginkgo biloba","WD-5474","bm_30808","Ginkgo, Mädchenhaarbaum, Fächerblattbaum","Höhe:>20m, Breite:<10m","Bildschirmeingabe",c(2680681.03009033, 1247841.10009765)
"30810",30810,"Grünanlage","Carpinus","30809","betulus","Parkbaum","1920","4","Sihlfeld","Aemtlerstrasse","Carpinus betulus","WD-5475","bm_30809","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680683.72009277, 1247831.93011475)
"30811",30811,"Grünanlage","Quercus","30810","spec.","Parkbaum","1880","0","Sihlfeld","Aemtlerstrasse","Quercus spec.","WD-5476","bm_30810","Eiche, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680679.81011963, 1247815.7901001)
"30812",30812,"Grünanlage","Carpinus","30811","betulus","Parkbaum","1920","4","Sihlfeld","Aemtlerstrasse","Carpinus betulus","WD-5477","bm_30811","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680692.52008057, 1247822.88012695)
"30813",30813,"Grünanlage","Sequoiadendron","30812","giganteum","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Sequoiadendron giganteum","WD-5478","bm_30812","Mammutbaum, Riesensequoia","nicht zugeordnet","Bildschirmeingabe",c(2680657.81011963, 1247835.23010254)
"30814",30814,"Grünanlage","Sequoiadendron","30813","giganteum","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Sequoiadendron giganteum","WD-5479","bm_30813","Mammutbaum, Riesensequoia","nicht zugeordnet","Bildschirmeingabe",c(2680655.12011719, 1247826.92010498)
"30815",30815,"Grünanlage","Sequoiadendron","30814","giganteum","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Sequoiadendron giganteum","WD-5480","bm_30814","Mammutbaum, Riesensequoia","nicht zugeordnet","Bildschirmeingabe",c(2680647.5401001, 1247822.7600708)
"30816",30816,"Grünanlage","Pinus","30815","nigra","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Pinus nigra","WD-5481","bm_30815","Schwarz-Kiefer","nicht zugeordnet","Bildschirmeingabe",c(2680664.41009521, 1247818.36010742)
"30817",30817,"Grünanlage","Pinus","30816","nigra","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Pinus nigra","WD-5482","bm_30816","Schwarz-Kiefer","nicht zugeordnet","Bildschirmeingabe",c(2680657.44012451, 1247805.65008545)
"30818",30818,"Grünanlage","Pinus","30817","nigra","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Pinus nigra","WD-5483","bm_30817","Schwarz-Kiefer","nicht zugeordnet","Bildschirmeingabe",c(2680651.57012939, 1247803.82012939)
"30819",30819,"Grünanlage","Pinus","30818","nigra","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Pinus nigra","WD-5484","bm_30818","Schwarz-Kiefer","nicht zugeordnet","Bildschirmeingabe",c(2680662.70007324, 1247797.95007324)
